,Identifier,Start date,End date,Number of deaths,Incident,State,Year
0,IBD031681,2025-04-18,2025-04-18,1,Food Poisoning,Imo,2025.0
1,IBD032064,2025-03-31,2025-03-31,1,Gunmen Kill Man,Benue,2025.0
2,IBD032058,2025-03-31,2025-03-31,1,Auto Crash,Lagos,2025.0
3,IBD032066,2025-03-31,2025-03-31,1,Stray Bullets,Sokoto,2025.0
4,IBD032062,2025-03-30,2025-03-30,1,Lightening Kills Herder,Kaduna,2025.0
5,IBD032049,2025-03-30,2025-03-30,9,Auto Crash,Katsina,2025.0
6,IBD032065,2025-03-30,2025-03-30,4,Sallah Day Celebration Clash,Plateau,2025.0
7,IBD032054,2025-03-30,2025-03-30,1,Auto Crash,Abia,2025.0
8,IBD032048,2025-03-30,2025-03-30,2,Gas Explosion,Delta,2025.0
9,IBD032061,2025-03-30,2025-03-30,1,Auto Crash,Ogun,2025.0
10,IBD032052,2025-03-30,2025-03-30,2,Stampede,Gombe,2025.0
11,IBD032063,2025-03-30,2025-03-30,2,Fishing Activities,Kogi,2025.0
12,IBD032057,2025-03-29,2025-03-29,1,Herdsmen Kill Graduate,(FCT) Abuja,2025.0
13,IBD032060,2025-03-29,2025-03-29,1,Labourer Kills Employer,Ondo,2025.0
14,IBD032050,2025-03-29,2025-03-29,1,Auto Crash,Lagos,2025.0
15,IBD032059,2025-03-29,2025-03-29,1,Extrajudicial Killing,Delta,2025.0
16,IBD032046,2025-03-28,2025-03-28,6,Security Forces vs Shiites Members,(FCT) Abuja,2025.0
17,IBD032056,2025-03-28,2025-03-28,1,Pirates vs Fashion Designer,Rivers,2025.0
18,IBD032042,2025-03-27,2025-03-27,2,Gas Explosion,Abia,2025.0
19,IBD032051,2025-03-27,2025-03-27,52,Gunmen Attack,Plateau,2025.0
20,IBD032028,2025-03-26,2025-03-26,2,Auto Crash,Kano,2025.0
21,IBD032027,2025-03-26,2025-03-26,2,Lakurawa vs Customs Officers,Kebbi,2025.0
22,IBD032045,2025-03-26,2025-03-26,1,Domestic Violence,Sokoto,2025.0
23,IBD032037,2025-03-26,2025-03-26,1,Domestic Violence,Edo,2025.0
24,IBD032033,2025-03-26,2025-03-26,2,Taskforce Raid,(FCT) Abuja,2025.0
25,IBD032032,2025-03-26,2025-03-26,1,Chieftaincy Tussle,Ondo,2025.0
26,IBD032039,2025-03-26,2025-03-26,1,Domestic Violence,Lagos,2025.0
27,IBD032044,2025-03-25,2025-03-25,2,Domestic Violence,Ekiti,2025.0
28,IBD032030,2025-03-25,2025-03-25,3,Rainstorm,Cross River,2025.0
29,IBD032025,2025-03-25,2025-03-25,2,Auto Crash,Abia,2025.0
30,IBD032034,2025-03-25,2025-03-25,1,Gunmen vs Land Agent,Delta,2025.0
31,IBD032041,2025-03-25,2025-03-25,1,Pipeline Vandal,Rivers,2025.0
32,IBD032020,2025-03-24,2025-03-24,1,Troops vs Armed Robber,Plateau,2025.0
33,IBD032019,2025-03-24,2025-03-24,1,Troops Kill Bandit,Plateau,2025.0
34,IBD032014,2025-03-24,2025-03-24,1,Kidnapper,Anambra,2025.0
35,IBD032026,2025-03-24,2025-03-24,2,Ritual Killing,Rivers,2025.0
36,IBD032017,2025-03-24,2025-03-24,8,Army vs Boko Haram,Borno,2025.0
37,IBD032009,2025-03-24,2025-03-24,1,Jailbreak,Kogi,2025.0
38,IBD032055,2025-03-24,2025-03-24,1,Auto Crash,Lagos,2025.0
39,IBD032012,2025-03-24,2025-03-24,1,Gunmen vs Police,Enugu,2025.0
40,IBD032016,2025-03-24,2025-03-24,3,Army vs Boko Haram,Borno,2025.0
41,IBD031984,2025-03-23,2025-03-23,2,Extrajudicial Killing,Cross River,2025.0
42,IBD032006,2025-03-23,2025-03-23,1,Assailants vs Motorcycle Rider,Bauchi,2025.0
43,IBD032018,2025-03-23,2025-03-23,1,Hunter Killed,Ogun,2025.0
44,IBD032007,2025-03-23,2025-03-23,3,Gunmen Attack,Plateau,2025.0
45,IBD032008,2025-03-23,2025-03-23,8,Auto Crash,Osun,2025.0
46,IBD032010,2025-03-23,2025-03-23,2,Bandits Kill 2,Kogi,2025.0
47,IBD031983,2025-03-22,2025-03-22,1,Bandits Attack,Sokoto,2025.0
48,IBD031989,2025-03-22,2025-03-22,10,Bandits vs Security Operatives,Zamfara,2025.0
49,IBD031985,2025-03-22,2025-03-22,1,Kidnappers Kill 1,Benue,2025.0
50,IBD032035,2025-03-22,2025-03-22,3,Kidnap Victims,Kaduna,2025.0
51,IBD031987,2025-03-22,2025-03-22,1,Herdsmen Attack,Edo,2025.0
52,IBD031995,2025-03-22,2025-03-22,1,Herders Kill Farmer,(FCT) Abuja,2025.0
53,IBD031990,2025-03-22,2025-03-22,1,Assailants vs Security Man,Bauchi,2025.0
54,IBD032011,2025-03-22,2025-03-22,1,POS Operator,Adamawa,2025.0
55,IBD032021,2025-03-22,2025-03-22,2,Generator Fume Kill 2,Rivers,2025.0
56,IBD031992,2025-03-21,2025-03-21,2,Communal Clash,Osun,2025.0
57,IBD031996,2025-03-21,2025-03-21,1,Hoodlums vs Worshippers,Kaduna,2025.0
58,IBD032040,2025-03-21,2025-03-21,1,Man Dies in Hotel,Delta,2025.0
59,IBD032038,2025-03-21,2025-03-21,1,Domestic Violence,Edo,2025.0
60,IBD032031,2025-03-21,2025-03-21,5,Police vs Kidnappers,Delta,2025.0
61,IBD031986,2025-03-20,2025-03-20,3,Gunmen Attack,Anambra,2025.0
62,IBD032004,2025-03-20,2025-03-20,2,Security Force vs Lakurawa,Kebbi,2025.0
63,IBD032047,2025-03-20,2025-03-20,16,Northern Hunters,Edo,2025.0
64,IBD031981,2025-03-20,2025-03-20,1,Miyetti Allah Chairman,Plateau,2025.0
65,IBD032013,2025-03-20,2025-03-20,1,Kidnap Victim,Bauchi,2025.0
66,IBD031980,2025-03-19,2025-03-19,5,Herdsmen Attack,Benue,2025.0
67,IBD031982,2025-03-19,2025-03-19,1,Rape Victim,Delta,2025.0
68,IBD032002,2025-03-19,2025-03-19,1,Inferno,Yobe,2025.0
69,IBD031994,2025-03-19,2025-03-19,10,Banditary,Katsina,2025.0
70,IBD031971,2025-03-19,2025-03-19,1,Domestic Violence,Lagos,2025.0
71,IBD031979,2025-03-19,2025-03-19,1,Assailants vs Security Guard,Ebonyi,2025.0
72,IBD031972,2025-03-19,2025-03-19,10,Explosion/Auto Crash,(FCT) Abuja,2025.0
73,IBD031975,2025-03-19,2025-03-19,10,Herders vs Farmers,Ondo,2025.0
74,IBD031970,2025-03-18,2025-03-18,1,Auto Crash,Rivers,2025.0
75,IBD031993,2025-03-18,2025-03-18,25,NAF vs Boko Haram,Borno,2025.0
76,IBD031978,2025-03-18,2025-03-18,1,Rainstorm Kill 1,Ogun,2025.0
77,IBD031974,2025-03-18,2025-03-18,7,Army vs Terrorist,Zamfara,2025.0
78,IBD031977,2025-03-18,2025-03-19,12,Police vs Gunmen,Benue,2025.0
79,IBD031969,2025-03-17,2025-03-17,2,Communal Clash,Ebonyi,2025.0
80,IBD031973,2025-03-17,2025-03-17,3,Army vs Terrorist,Katsina,2025.0
81,IBD031991,2025-03-17,2025-03-17,10,NAF vs Boko Haram,Borno,2025.0
82,IBD031988,2025-03-17,2025-03-17,1,Lawyer vs Student,Imo,2025.0
83,IBD032003,2025-03-17,2025-03-17,1,Electrocution,Lagos,2025.0
84,IBD031976,2025-03-17,2025-03-17,2,Herdsmen Attack,Benue,2025.0
85,IBD032036,2025-03-16,2025-03-16,40,NAF vs Terrorists,Borno,2025.0
86,IBD032005,2025-03-16,2025-03-16,1,Explosion,Rivers,2025.0
87,IBD031955,2025-03-16,2025-03-16,7,Auto Crash,Imo,2025.0
88,IBD031997,2025-03-16,2025-03-16,1,Boy Suffocates,Lagos,2025.0
89,IBD032015,2025-03-16,2025-03-16,2,Domestic Violence,Edo,2025.0
90,IBD031952,2025-03-16,2025-03-16,1,Armed Robbers vs Watchman,Katsina,2025.0
91,IBD032023,2025-03-16,2025-03-16,2,Auto Crash,Kaduna,2025.0
92,IBD031959,2025-03-16,2025-03-16,1,Gunmen vs Fulani Leader,Kwara,2025.0
93,IBD015011,2025-03-15,2025-03-15,1,Mob Attack,Lagos,2025.0
94,IBD031949,2025-03-15,2025-03-15,6,Auto Crash,Anambra,2025.0
95,IBD031958,2025-03-15,2025-03-15,1,Assailants vs Bride,Jigawa,2025.0
96,IBD031950,2025-03-15,2025-03-15,12,Army vs Bandits,Katsina,2025.0
97,IBD031953,2025-03-15,2025-03-15,12,Army vs Bandits,Katsina,2025.0
98,IBD032022,2025-03-15,2025-03-15,1,Mob vs Armed Robber,Lagos,2025.0
99,IBD031942,2025-03-15,2025-03-15,2,Communal Clash,Cross River,2025.0
100,IBD031965,2025-03-15,2025-03-15,4,Cult Clash,Ogun,2025.0
101,IBD031945,2025-03-14,2025-03-14,6,Police vs Kidnappers,Abia,2025.0
102,IBD031967,2025-03-14,2025-03-14,5,Gunmen vs Herders,Enugu,2025.0
103,IBD031946,2025-03-14,2025-03-14,1,Police vs Kidnapper,Nasarawa,2025.0
104,IBD031948,2025-03-14,2025-03-14,1,Drowns,Rivers,2025.0
105,IBD031968,2025-03-14,2025-03-14,1,Domestic Violence,Abia,2025.0
106,IBD031943,2025-03-13,2025-03-13,22,NAF vs Bandit,Katsina,2025.0
107,IBD031944,2025-03-13,2025-03-13,1,Catholic Seminarian,Edo,2025.0
108,IBD031956,2025-03-12,2025-03-12,1,Farmer,Benue,2025.0
109,IBD031947,2025-03-12,2025-03-12,2,Soldiers vs Kidnappers,Plateau,2025.0
110,IBD031938,2025-03-12,2025-03-12,1,Auto Crash,Edo,2025.0
111,IBD031954,2025-03-11,2025-03-11,2,Vigilantes,(FCT) Abuja,2025.0
112,IBD032024,2025-03-11,2025-03-11,1,Kidnappers vs Village Head,Kaduna,2025.0
113,IBD031929,2025-03-11,2025-03-11,3,Auto Crash/Explosion,Lagos,2025.0
114,IBD031928,2025-03-11,2025-03-11,4,Herders Attack,Benue,2025.0
115,IBD031937,2025-03-11,2025-03-11,3,Army vs Terrorist,Kaduna,2025.0
116,IBD031957,2025-03-10,2025-03-10,3,Bandits vs Worshippers,Nasarawa,2025.0
117,IBD031909,2025-03-10,2025-03-10,1,Domestic Violence,Akwa Ibom,2025.0
118,IBD031924,2025-03-10,2025-03-10,1,Extrajudicial Killing,Niger,2025.0
119,IBD031927,2025-03-10,2025-03-10,1,Extrajudicial Killing,Niger,2025.0
120,IBD031904,2025-03-10,2025-03-10,1,Auxiliary Nurse ,Delta,2025.0
121,IBD031926,2025-03-10,2025-03-10,1,Extrajudicial Killings,Niger,2025.0
122,IBD031916,2025-03-10,2025-03-10,1,Police vs Kidnappers,Akwa Ibom,2025.0
123,IBD031925,2025-03-10,2025-03-10,11,Farmers vs Herders,Nasarawa,2025.0
124,IBD031930,2025-03-10,2025-03-10,1,Assailant vs Man,Lagos,2025.0
125,IBD031961,2025-03-09,2025-03-09,4,Police vs Kidnappers,Delta,2025.0
126,IBD031911,2025-03-09,2025-03-09,13,Lakurawa Bandits Kills 11,Kebbi,2025.0
127,IBD031910,2025-03-09,2025-03-09,17,Suspected Herders Kill 20,Ondo,2025.0
128,IBD031915,2025-03-09,2025-03-09,1,Customs Operavtives vs Smugglers,Ogun,2025.0
129,IBD031912,2025-03-09,2025-03-09,8,Auto Crash,Edo,2025.0
130,IBD031917,2025-03-09,2025-03-09,4,Auto Crash,Ogun,2025.0
131,IBD031923,2025-03-09,2025-03-09,1,Auto Crash,(FCT) Abuja,2025.0
132,IBD031921,2025-03-09,2025-03-09,1,Kidnappers vs Woman,Kaduna,2025.0
133,IBD031934,2025-03-08,2025-03-08,1,Murder,Niger,2025.0
134,IBD031935,2025-03-08,2025-03-08,1,Drown,Niger,2025.0
135,IBD031919,2025-03-08,2025-03-08,1,Palm Tree Kills Man,Ogun,2025.0
136,IBD031906,2025-03-08,2025-03-08,1,Fight,Lagos,2025.0
137,IBD031922,2025-03-08,2025-03-08,1,Man vs Friend,(FCT) Abuja,2025.0
138,IBD031905,2025-03-08,2025-03-08,1,Cultist vs DJ,Lagos,2025.0
139,IBD031931,2025-03-08,2025-03-08,1,Boko Haram vs Vigilante,Yobe,2025.0
140,IBD031914,2025-03-08,2025-03-08,1,Gunmen vs APC Council Chairman,Lagos,2025.0
141,IBD031900,2025-03-08,2025-03-08,1,Communal Clash,Niger,2025.0
142,IBD031897,2025-03-08,2025-03-08,1,Miyetti Allah Chairman,Kwara,2025.0
143,IBD031951,2025-03-07,2025-03-07,1,Boy Beheaded,Adamawa,2025.0
144,IBD031932,2025-03-07,2025-03-07,2,Herdsmen Attack,Kogi,2025.0
145,IBD031899,2025-03-07,2025-03-07,5,Auto Crash,Abia,2025.0
146,IBD031898,2025-03-07,2025-03-07,1,Ritual Killing,Edo,2025.0
147,IBD031902,2025-03-07,2025-03-08,15,Herdsmen Attack,Benue,2025.0
148,IBD031885,2025-03-06,2025-03-06,5,Medical Negligence,Benue,2025.0
149,IBD031876,2025-03-06,2025-03-06,1,Electrocution,Ogun,2025.0
150,IBD031940,2025-03-06,2025-03-06,1,Domestic Violence,Ogun,2025.0
151,IBD031895,2025-03-06,2025-03-06,1,Security Operatives vs Terrorist,Kebbi,2025.0
152,IBD031882,2025-03-05,2025-03-05,3,Building Collapse,Lagos,2025.0
153,IBD031891,2025-03-05,2025-03-05,12,Security Operatives vs Bandits,Zamfara,2025.0
154,IBD031892,2025-03-05,2025-03-05,7,Auto Crash/ Explosion,Niger,2025.0
155,IBD031998,2025-03-05,2025-03-05,1,Drowns,(FCT) Abuja,2025.0
156,IBD031880,2025-03-05,2025-03-05,1,Gunmen vs Cleric,Kaduna,2025.0
157,IBD031894,2025-03-05,2025-03-05,2,Auto Crash,Bayelsa,2025.0
158,IBD031871,2025-03-04,2025-03-04,2,Explosion,Oyo,2025.0
159,IBD032053,2025-03-04,2025-03-04,1,Auto Crash,Lagos,2025.0
160,IBD031869,2025-03-04,2025-03-04,1,Police vs Herder,Edo,2025.0
161,IBD031870,2025-03-04,2025-03-04,17,Auto Crash,Ogun,2025.0
162,IBD031865,2025-03-04,2025-03-04,2,Gunmen Attack,Abia,2025.0
163,IBD031881,2025-03-04,2025-03-04,10,Auto Crash,Anambra,2025.0
164,IBD031848,2025-03-04,2025-03-04,4,Bridge Collapse,Akwa Ibom,2025.0
165,IBD031873,2025-03-04,2025-03-04,1,Gunmen vs Immigration Officer,(FCT) Abuja,2025.0
166,IBD031889,2025-03-04,2025-03-04,1,Man Dies Working on Farm,(FCT) Abuja,2025.0
167,IBD031884,2025-03-04,2025-03-04,14,Police vs Kidnappers,(FCT) Abuja,2025.0
168,IBD031879,2025-03-03,2025-03-03,4,Auto Crash,Kogi,2025.0
169,IBD031877,2025-03-03,2025-03-03,2,Gunmen Attack,Benue,2025.0
170,IBD031890,2025-03-03,2025-03-03,2,Boko Harm Kill Police Officer Children,Borno,2025.0
171,IBD031868,2025-03-03,2025-03-03,1,Gunmen vs Site Engineer,Edo,2025.0
172,IBD031867,2025-03-03,2025-03-03,1,Drown,(FCT) Abuja,2025.0
173,IBD031893,2025-03-03,2025-03-03,1,Assailant vs Man,Ogun,2025.0
174,IBD031936,2025-03-03,2025-03-03,1,Bandit Leader,(FCT) Abuja,2025.0
175,IBD031941,2025-03-02,2025-03-02,1,Woman Killed,Bauchi,2025.0
176,IBD031888,2025-03-02,2025-03-02,1,Herders Kill Man,(FCT) Abuja,2025.0
177,IBD031858,2025-03-02,2025-03-02,1,Gunmen Kill One,Gombe,2025.0
178,IBD031874,2025-03-02,2025-03-02,1,Community leader Killed,Anambra,2025.0
179,IBD031866,2025-03-02,2025-03-02,1,Teenager,Ogun,2025.0
180,IBD031861,2025-03-02,2025-03-02,1,Herdsmen vs Vigilante,Delta,2025.0
181,IBD031883,2025-03-01,2025-03-01,1,Drug Addict Kill Phone Charger,Ogun,2025.0
182,IBD031853,2025-03-01,2025-03-01,1,Domestic Violence,Bauchi,2025.0
183,IBD031854,2025-03-01,2025-03-01,6,Herdsmen vs Farmers,Benue,2025.0
184,IBD031939,2025-03-01,2025-03-01,1,Policeman vs Okada Riders,Plateau,2025.0
185,IBD031659,2025-03-01,2025-03-01,2,Police vs Kidnappers,Kwara,2025.0
186,IBD031855,2025-03-01,2025-03-01,1,Gunmen vs Businessman,Ondo,2025.0
187,IBD031913,2025-03-01,2025-03-01,2,Female Corpses,Delta,2025.0
188,IBD031852,2025-03-01,2025-03-01,12,Auto Crash,Edo,2025.0
189,IBD031857,2025-03-01,2025-03-01,1,Gunmen vs Man,Zamfara,2025.0
190,IBD031864,2025-03-01,2025-03-01,15,Soldiers vs Boko Haram,Borno,2025.0
191,IBD031860,2025-02-28,2025-02-28,2,Cult Clash,Delta,2025.0
192,IBD032001,2025-02-28,2025-02-28,1,Inferno,Yobe,2025.0
193,IBD031856,2025-02-28,2025-02-28,1,Herdsmen Attack,Delta,2025.0
194,IBD031808,2025-02-28,2025-02-28,1,Auto Crash,Kwara,2025.0
195,IBD031887,2025-02-28,2025-02-28,1,Domestic Violence,Bauchi,2025.0
196,IBD031862,2025-02-27,2025-02-27,2,Banditry,Zamfara,2025.0
197,IBD031839,2025-02-27,2025-02-27,6,Auto Crash,Enugu,2025.0
198,IBD031846,2025-02-27,2025-02-27,2,Herdsmen Attack,Edo,2025.0
199,IBD031851,2025-02-27,2025-02-27,17,Banditry,Katsina,2025.0
200,IBD031847,2025-02-27,2025-02-27,1,Soldier Kill Man,Akwa Ibom,2025.0
201,IBD031886,2025-02-27,2025-02-27,1,Gunmen Attack,Ogun,2025.0
202,IBD031901,2025-02-26,2025-02-26,1,Domestic Violence,Lagos,2025.0
203,IBD031850,2025-02-26,2025-02-26,10,Bandits vs Farmers,Niger,2025.0
204,IBD031844,2025-02-26,2025-02-26,1,Cult Attack,Bayelsa,2025.0
205,IBD031837,2025-02-26,2025-02-26,7,Boko Haram Attack,Borno,2025.0
206,IBD031843,2025-02-26,2025-02-26,1,NAF Officer Kill Man,Kaduna,2025.0
207,IBD031840,2025-02-26,2025-02-26,1,Land Dispute,Delta,2025.0
208,IBD031834,2025-02-25,2025-02-26,40,Boko Haram Attack,Adamawa,2025.0
209,IBD031822,2025-02-25,2025-02-25,1,Kidnappers Kill Hunter,Oyo,2025.0
210,IBD031838,2025-02-25,2025-02-25,2,Boko Haram/ISWAP Landmine Kills 2,Borno,2025.0
211,IBD031833,2025-02-25,2025-02-25,2,Kidnappers vs Police Officers,Plateau,2025.0
212,IBD031826,2025-02-25,2025-02-25,10,Auto Crash,Yobe,2025.0
213,IBD031828,2025-02-25,2025-02-25,3,Auto Crash,Sokoto,2025.0
214,IBD031812,2025-02-24,2025-02-24,9,Auto Crash,Ogun,2025.0
215,IBD031824,2025-02-24,2025-02-24,2,Auto Crash,Lagos,2025.0
216,IBD031830,2025-02-24,2025-02-24,5,Boat Mishap,Delta,2025.0
217,IBD031823,2025-02-24,2025-02-24,1,Domestic Violence,Bauchi,2025.0
218,IBD031842,2025-02-24,2025-02-24,1,Auto Crash,Ogun,2025.0
219,IBD031832,2025-02-24,2025-02-24,2,Auto Crash,Bauchi,2025.0
220,IBD031821,2025-02-24,2025-02-24,1,Auto Crash,Lagos,2025.0
221,IBD031845,2025-02-24,2025-02-24,1,Police Kill Man,Enugu,2025.0
222,IBD031836,2025-02-24,2025-02-24,1,Herdsmen vs Vigilante Commander,Edo,2025.0
223,IBD031813,2025-02-24,2025-02-24,2,Herders vs Farmers,Edo,2025.0
224,IBD031875,2025-02-24,2025-02-24,1,Domestic Violence,Bauchi,2025.0
225,IBD031820,2025-02-23,2025-02-23,1,Security Operatives vs Artisan,Edo,2025.0
226,IBD031819,2025-02-23,2025-02-23,1,Security Operatives Kills 1,Katsina,2025.0
227,IBD031816,2025-02-23,2025-02-23,1,Man vs Friend,Niger,2025.0
228,IBD031907,2025-02-23,2025-02-23,1,Revenue Collector vs Truck Driver,Edo,2025.0
229,IBD031825,2025-02-23,2025-02-23,2,Auto Crash,Oyo,2025.0
230,IBD031817,2025-02-23,2025-02-23,1,Student Drowns,Bayelsa,2025.0
231,IBD031841,2025-02-22,2025-02-22,4,Fish Poison,Taraba,2025.0
232,IBD031800,2025-02-22,2025-02-22,1,Man Drowns,Ogun,2025.0
233,IBD031806,2025-02-22,2025-02-22,23,NAF Kill Bandits,Zamfara,2025.0
234,IBD031804,2025-02-22,2025-02-22,4,Car Accident,Jigawa,2025.0
235,IBD031835,2025-02-22,2025-02-22,1,Ritual Killing,Edo,2025.0
236,IBD031799,2025-02-22,2025-02-22,1,Auto Crash,Delta,2025.0
237,IBD031803,2025-02-22,2025-02-22,1,Farmer,Ogun,2025.0
238,IBD031796,2025-02-22,2025-02-22,1,Domestic Violence,Edo,2025.0
239,IBD031795,2025-02-21,2025-02-21,1,Witchcraft Suspect,Borno,2025.0
240,IBD031814,2025-02-21,2025-02-21,1,Banditry,Kaduna,2025.0
241,IBD031798,2025-02-21,2025-02-21,13,Auto Crash,Niger,2025.0
242,IBD031810,2025-02-21,2025-02-21,1,Motorcycle Thief,(FCT) Abuja,2025.0
243,IBD031805,2025-02-21,2025-02-21,1,Boy Drowns,Ogun,2025.0
244,IBD031863,2025-02-21,2025-02-21,1,Kidnappers Kills 1,Zamfara,2025.0
245,IBD031818,2025-02-21,2025-02-21,1,Domestic Violence,Lagos,2025.0
246,IBD031827,2025-02-21,2025-02-21,4,Security Operatives vs Bandits,Katsina,2025.0
247,IBD031797,2025-02-20,2025-02-21,12,Communal Clash,Edo,2025.0
248,IBD031793,2025-02-20,2025-02-20,1,Building Collapse,Yobe,2025.0
249,IBD031802,2025-02-20,2025-02-20,4,Banditry,Niger,2025.0
250,IBD031794,2025-02-20,2025-02-20,4,Police vs Kidnappers,Ogun,2025.0
251,IBD031792,2025-02-20,2025-02-20,1,Fallen Mast,Edo,2025.0
252,IBD031786,2025-02-19,2025-02-19,1,Banditry,Niger,2025.0
253,IBD031811,2025-02-19,2025-02-19,3,Ritual/Domestic Violence,Abia,2025.0
254,IBD031785,2025-02-18,2025-02-18,3,Explosion,Zamfara,2025.0
255,IBD031768,2025-02-18,2025-02-18,2,Domestic Violence,Ekiti,2025.0
256,IBD031782,2025-02-18,2025-02-18,1,Banditry,Zamfara,2025.0
257,IBD031783,2025-02-18,2025-02-18,2,Kidnappers Attack,(FCT) Abuja,2025.0
258,IBD031769,2025-02-18,2025-02-18,1,Communal Clash,Ebonyi,2025.0
259,IBD031759,2025-02-17,2025-02-17,1,Political Crisis,Osun,2025.0
260,IBD031757,2025-02-17,2025-02-17,2,Political Crisis,Osun,2025.0
261,IBD031758,2025-02-17,2025-02-17,2,Political Crisis,Osun,2025.0
262,IBD031781,2025-02-17,2025-02-17,10,Army vs Boko Haram,Borno,2025.0
263,IBD031778,2025-02-17,2025-02-17,1,Assailants vs Student,Ondo,2025.0
264,IBD031753,2025-02-17,2025-02-17,3,Gunmen Attack,Benue,2025.0
265,IBD031755,2025-02-17,2025-02-17,1,Cult Clash,Delta,2025.0
266,IBD031771,2025-02-16,2025-02-16,1,Auto Crash,Ogun,2025.0
267,IBD031763,2025-02-16,2025-02-16,1,Hoodlums vs Motorcyclist,(FCT) Abuja,2025.0
268,IBD031878,2025-02-16,2025-02-16,1,Extrajudicial Killing,Ondo,2025.0
269,IBD031756,2025-02-16,2025-02-16,3,Inferno,Ondo,2025.0
270,IBD031760,2025-02-16,2025-02-16,8,Auto Crash,Imo,2025.0
271,IBD031766,2025-02-16,2025-02-16,1,Ritual Killing,Ogun,2025.0
272,IBD031742,2025-02-16,2025-02-16,1,Security Operatives vs Armed Robber,Ogun,2025.0
273,IBD031761,2025-02-16,2025-02-16,7,Auto Crash,Kogi,2025.0
274,IBD031770,2025-02-16,2025-02-16,1,Kidnappers Attack,Imo,2025.0
275,IBD031772,2025-02-16,2025-02-16,17,Auto Crash,Delta,2025.0
276,IBD031767,2025-02-16,2025-02-16,1,Security Operatives vs Student,Kaduna,2025.0
277,IBD031743,2025-02-15,2025-02-15,1,Mysterious Death,Ogun,2025.0
278,IBD031749,2025-02-15,2025-02-15,1,Gunmen Attack,Kwara,2025.0
279,IBD031751,2025-02-15,2025-02-15,1,Kidnapers vs Health Worker,Ondo,2025.0
280,IBD031745,2025-02-15,2025-02-15,2,Mob vs Robbers,(FCT) Abuja,2025.0
281,IBD031752,2025-02-15,2025-02-15,22,Herdsmen vs Farmers,Benue,2025.0
282,IBD031750,2025-02-15,2025-02-15,4,Mob vs NDLEA Officer/ Auto Crash,Kaduna,2025.0
283,IBD031849,2025-02-15,2025-02-15,1,Friends Murder Man,Lagos,2025.0
284,IBD031744,2025-02-15,2025-02-15,1,Corpse Found,Kano,2025.0
285,IBD031748,2025-02-15,2025-02-15,10,Army vs Villagers,Katsina,2025.0
286,IBD031920,2025-02-15,2025-02-15,1,Domestic Violence,Cross River,2025.0
287,IBD031960,2025-02-15,2025-02-15,7,Fire Incidents,Kano,2025.0
288,IBD031737,2025-02-14,2025-02-14,4,Police vs Kidnappers,Kebbi,2025.0
289,IBD031859,2025-02-14,2025-02-14,1,Domestic Violence,Ondo,2025.0
290,IBD031740,2025-02-14,2025-02-14,1,Assailant vs Traditional Ruler,Abia,2025.0
291,IBD031736,2025-02-14,2025-02-14,8,Auto Crash,Anambra,2025.0
292,IBD031765,2025-02-14,2025-02-15,2,Cult Clash,Lagos,2025.0
293,IBD031746,2025-02-14,2025-02-14,1,Extrajudicial Killing,Ondo,2025.0
294,IBD031732,2025-02-13,2025-02-13,2,Kidnappers Set Ablaze,Delta,2025.0
295,IBD031733,2025-02-13,2025-02-13,1,Auto Crash,Ogun,2025.0
296,IBD031764,2025-02-13,2025-02-13,1,Cult Clash,Ogun,2025.0
297,IBD031780,2025-02-13,2025-02-13,1,Man vs Friend,(FCT) Abuja,2025.0
298,IBD031779,2025-02-13,2025-02-13,2,Extrajudicial Killing,Delta,2025.0
299,IBD031734,2025-02-13,2025-02-13,23,Auto Crash,Kano,2025.0
300,IBD031727,2025-02-12,2025-02-12,1,Auto Crash,Bauchi,2025.0
301,IBD031728,2025-02-12,2025-02-12,3,Police vs Armed Robbers,(FCT) Abuja,2025.0
302,IBD031741,2025-02-12,2025-02-12,1,Extrajudicial Killing,Lagos,2025.0
303,IBD031729,2025-02-12,2025-02-12,1,Stab to Death,Rivers,2025.0
304,IBD031829,2025-02-12,2025-02-12,2,Kidnappers Kill Two,Kogi,2025.0
305,IBD031807,2025-02-11,2025-02-11,1,Extrajudicial Killing,Benue,2025.0
306,IBD031713,2025-02-11,2025-02-11,1,Mob vs Thief,Akwa Ibom,2025.0
307,IBD031726,2025-02-11,2025-02-11,3,Auto Crash,Taraba,2025.0
308,IBD031738,2025-02-11,2025-02-11,1,Ritual Killing,Kwara,2025.0
309,IBD031717,2025-02-10,2025-02-10,1,Bandits vs Traders,Katsina,2025.0
310,IBD031714,2025-02-10,2025-02-10,1,Communal Clash,Akwa Ibom,2025.0
311,IBD031762,2025-02-10,2025-02-10,1,Kidnap Victim,(FCT) Abuja,2025.0
312,IBD031709,2025-02-10,2025-02-10,1,Auto Crash,Niger,2025.0
313,IBD031720,2025-02-10,2025-02-10,1,Assailants vs Girl,Ekiti,2025.0
314,IBD031721,2025-02-10,2025-02-10,1,Student Drowns,Benue,2025.0
315,IBD031719,2025-02-09,2025-02-09,2,Gunmen vs Police Officer,Yobe,2025.0
316,IBD031705,2025-02-09,2025-02-09,1,Gunmen Kill Pastor,Gombe,2025.0
317,IBD031708,2025-02-09,2025-02-09,5,Auto Crash,Jigawa,2025.0
318,IBD031704,2025-02-09,2025-02-09,1,Communal Clash,Abia,2025.0
